code,nameEn,nameZh,alias,sortOrder,description,parentCode
Programming_Technology,Programming,软件编程,programming,1,"涵盖前端开发（Web/移动端）、后端系统设计与架构、DevOps 与云基础设施、开发者工具与开源生态，以及大厂工程实践与团队文化。关注的是""如何构建和维护高质量软件系统""，区别于 AI 分类中""如何用 AI 构建应用""。",
Artificial_Intelligence,Artificial Intelligence,人工智能,ai,2,涵盖 AI/ML 领域的模型研究与发布、AI 辅助编程与代码生成、AI 应用开发框架与实践、面向终端用户的 AI 产品与工具，以及 AI 行业的投融资、政策、趋势等动态信息。,
Product_Development,Product & Design,产品设计,product,3,涵盖产品管理方法论（策略/增长/数据驱动）、UX/UI 设计（交互/体验/设计系统）、以及视觉与创意设计（品牌/Web 设计/设计工具）。,
Business_Tech,Business & Tech,商业科技,business,4,"涵盖创业故事与 VC 生态、科技行业新闻与公司动态、商业分析与管理思考，以及科技人物的深度报道与访谈。关注的是""科技如何改变商业""和""科技行业的商业逻辑""。",
Productivity_Growth,Productivity & Growth,个人成长,growth,5,涵盖生产力工具与工作流优化、工程师职业发展路径与团队管理、认知科学与学习方法论。,
News_Media,News & Media,媒体资讯,new,6,涵盖综合新闻与时事报道（国际/国内/社会新闻）、深度调查与特稿、时事评论与观点文章、播客/视频等媒体内容、以及新闻聚合与信息简报。面向关注时事、希望获取多元信息的广泛用户群体。不限于科技领域，可涵盖政治、社会、文化等广义新闻。,
Finance_Economy,Finance & Economy,投资财经,finance,7,涵盖投资理财（股票/基金/加密货币/个人理财）、宏观经济分析（货币政策/经济周期/全球化趋势）、行业研究报告（券商研报/行业白皮书）、金融科技（FinTech/DeFi/数字支付）、以及财经新闻与市场动态。,
Lifestyle_Culture,Lifestyle & Culture,生活文化,lifestyle,8,涵盖健康与运动（健身/营养/心理健康/睡眠优化）、旅行与美食、影视与书评、人文社科（历史/哲学/社会学/心理学）、生活方式与消费（数码评测/居家/穿搭）、以及文化艺术（音乐/摄影/建筑/博物馆）。,
MODELS,AI Models,AI 模型,models,1,覆盖 AI/ML 领域的基础研究与模型技术。包括大语言模型的发布与评测、学术论文解读与综述、模型训练/微调/推理优化技术、Benchmark 评测与排行、AI 安全与对齐研究、多模态模型（视觉/语音/视频）、以及 AI 基础理论（Transformer 架构、注意力机制、Scaling Law 等）。,Artificial_Intelligence
AI_CODING,AI Coding,AI 编程,coding,2,覆盖 AI 辅助软件开发的工具、实践与生态。包括 Vibe Coding 理念与实践、AI IDE 和代码编辑器（Cursor、Windsurf）、终端 AI 工具（Claude Code、GitHub Copilot CLI）、AI 代码生成平台（v0、Lovable、bolt.new、Replit Agent）、AI 辅助代码审查与测试、以及 AI 编程最佳实践与工作流。,Artificial_Intelligence
DEV,AI Development,AI 开发,development,3,覆盖将 AI 能力集成到应用中的开发技术与实践。包括 RAG架构与实现、AI Agent 框架与编排、LLMOps 与模型部署运维、向量数据库与嵌入技术、MCP 与工具调用、开发框架（LangChain/LlamaIndex/Dify/CrewAI）、以及上下文工程和提示词工程等。,Artificial_Intelligence
PRODUCT,AI 产品,AI 产品,products,4,覆盖面向终端用户的 AI 产品与工具。包括通用 AI 助手（ChatGPT、Claude、Gemini、Kimi）、AI 搜索引擎（Perplexity）、AI 图像/视频生成（Midjourney、DALL-E、Sora、Kling）、AI 笔记与知识管理（NotebookLM、Notion AI）、以及各类垂直领域 AI 产品的评测与使用指南。,Artificial_Intelligence
NEWS,AI News,AI 资讯,news,5,覆盖 AI 行业的商业、政策与生态信息。包括 AI 公司的融资与上市动态、AI 政策法规（监管/开源协议/版权争议）、AI 行业趋势分析与预测、行业观点与评论文章、以及 AI 领域的周报/日报型资讯汇总。,Artificial_Intelligence
BT_STARTUP,Startups & Ventures,创业与投资,startup,1,覆盖科技创业生态与风险投资。包括创业故事与复盘、VC 观点与投资方法论、融资动态与交易分析、独立开发者（Indie Hacker）实践、出海经验与全球化策略、创业方法论（精益创业/PMF/GTM）、以及加速器与孵化器生态（YC/a16z/真格）。,Business_Tech
BT_NEWS,Tech News,科技资讯,technews,2,覆盖科技行业的新闻与快讯。包括科技公司动态（产品发布/并购/人事变动）、行业趋势与政策法规、科技硬件与消费电子（手机/芯片/可穿戴设备）、互联网行业新闻、以及科技政策与监管动态。,Business_Tech
BT_INSIGHT,Business Insights,商业洞察,insight,3,覆盖商业分析与管理思考。包括行业深度分析报告、商业模式拆解与案例复盘、管理思想与方法论（OKR/战略规划）、经济观察与市场趋势、以及科技与商业的交叉分析。,Business_Tech
BT_PEOPLE,People & Interviews,人物与访谈,people,4,覆盖科技领域的人物故事与深度访谈。包括创始人/CEO 的创业故事与理念、深度人物特写与报道、长篇播客/视频访谈、技术领袖的思想观点、以及行业名人的职业轨迹与经验分享。,Business_Tech
PD_PM,Product Management,产品管理,pm,1,覆盖数字产品的策划、运营与增长。包括产品策略与路线图规划、用户研究方法（访谈/问卷/数据分析）、增长黑客与实验驱动、产品指标体系（北极星指标/漏斗分析）、需求分析与优先级排序、产品文档与 PRD 编写、以及 B2B/B2C/SaaS 等不同产品形态的方法论。,Product_Development
PD_DESIGN,UX/UI Design,UX/UI 设计,design,2,覆盖用户体验设计与界面设计。包括交互设计原则与模式、用户体验研究与测试、设计系统构建与维护（组件库/Design Token）、可用性测试与易用性评估、信息架构与导航设计、响应式设计与多端适配、无障碍设计（Accessibility/WCAG）、以及设计规范文档编写。,Product_Development
PD_CREATIVE,Creative & Visual,创意与视觉,creative,3,覆盖视觉设计与创意表达。包括视觉设计趋势与灵感、品牌设计与视觉识别、Web 设计风格与案例、设计工具教程（Figma/Sketch/Adobe）、动效设计与微交互、插画与图标设计、以及设计作品集展示。,Product_Development
PG_TOOLS,Tools & Productivity,效率工具,tools,1,覆盖个人效率提升与数字生活优化。包括生产力工具推荐与评测（Notion/Obsidian/Todoist/Raycast）、工作流优化与自动化（Zapier/Make/Shortcuts）、数字生活管理（文件组织/密码管理/备份策略）、笔记与知识管理方法（Zettelkasten/PARA/GTD）、以及效率方法论实践。,Productivity_Growth
PG_CAREER,Career Development,职业发展,career,2,覆盖技术从业者的职业成长与软技能。包括工程师成长路径（IC/管理双通道）、技术管理与团队领导力、职场沟通与软技能、面试准备与求职策略、远程工作与自由职业、以及职业转型与跨界发展。,Productivity_Growth
PG_LEARNING,Thinking & Learning,思维与学习,learning,3,覆盖认知提升与终身学习。包括认知科学与心理学（决策偏差/认知负载/注意力管理）、学习方法论（费曼技巧/间隔重复/主动回忆）、阅读笔记与书评、心智模型与思维框架（第一性原理/逆向思维/贝叶斯思维）、通识教育与跨学科知识、以及个人反思与自我管理。,Productivity_Growth
SE_FRONTEND,Frontend Development,前端开发,frontend,1,覆盖 Web 前端及跨平台 UI 开发技术。包括主流框架（React/Next.js/Vue/Nuxt）、CSS 技术与方案（Tailwind/CSS-in-JS/CSS 新特性）、TypeScript 进阶、浏览器 API 与 Web 标准、服务端渲染（SSR/SSG/ISR）、前端性能优化、移动端 Web 开发、以及前端工程化。,Programming_Technology
SE_BACKEND,Backend & Architecture,后端与架构,backend,2,覆盖后端系统开发、架构设计与数据管理。包括系统设计原则与模式（DDD/CQRS/Event Sourcing）、微服务与分布式架构、数据库技术（关系型/NoSQL/NewSQL）、API 设计（REST/GraphQL/gRPC）、消息队列与事件驱动架构、缓存策略、安全实践（认证/授权/加密）、以及后端语言生态（Java/Go/Rust/Python/Node.js）。,Programming_Technology
SE_DEVOPS,DevOps & Cloud,DevOps 与云,devops,3,覆盖开发运维一体化与云基础设施。包括 CI/CD 流水线设计与优化、容器化技术（Docker/Podman）与容器编排（Kubernetes）、云平台服务（AWS/GCP/Azure/Vercel/Cloudflare）、基础设施即代码（Terraform/Pulumi）、监控与可观测性（Prometheus/Grafana/OpenTelemetry）、SRE 实践与可靠性工程、以及安全运维。,Programming_Technology
SE_TOOLS,Open Source & Tools,开源与工具,tools,4,覆盖开发者工具生态与开源社区。包括开发者工具推荐与评测（终端/编辑器/调试器）、IDE 功能与插件（VS Code/JetBrains）、开源项目推荐与趋势（GitHub Trending/HelloGitHub）、编程语言新特性与生态、包管理与依赖管理、以及开发者体验改进。,Programming_Technology
SE_PRACTICE,Engineering Practice,工程实践,practice,5,覆盖软件工程的实践经验与团队文化。包括大厂技术博客精选（Netflix/Airbnb/Uber/美团/字节跳动）、架构案例复盘与技术选型、Code Review 实践与标准、工程文化与团队管理、技术债务治理、重构与迁移经验、以及软件质量保障（测试策略/监控体系）。,Programming_Technology
